"query_id","query_name","row_number","result_json"
1,"Executive Business Snapshot",1,"{""kpi"": ""Total Revenue"", ""value"": 15422461.77}"
1,"Executive Business Snapshot",2,"{""kpi"": ""Total Delivered Orders"", ""value"": 96478}"
1,"Executive Business Snapshot",3,"{""kpi"": ""Active Customers"", ""value"": 93357}"
1,"Executive Business Snapshot",4,"{""kpi"": ""Average Order Value"", ""value"": 159.86}"
1,"Executive Business Snapshot",5,"{""kpi"": ""Average Customer Lifetime Value"", ""value"": 165.20}"
1,"Executive Business Snapshot",6,"{""kpi"": ""Repeat Purchase Rate"", ""value"": 3.00}"
1,"Executive Business Snapshot",7,"{""kpi"": ""Average Delivery Time"", ""value"": 12.56}"
1,"Executive Business Snapshot",8,"{""kpi"": ""Average Review Score"", ""value"": 4.16}"
2,"Revenue and Customer Scale",1,"{""total_revenue"": 15422461.77, ""active_customers"": 93357, ""delivered_orders"": 96477, ""average_order_value"": 159.86, ""average_customer_lifetime_value"": 165.20}"
3,"Revenue Trend Summary",1,"{""month"": ""2017-01-01T00:00:00"", ""metric"": ""Strongest Growth Month"", ""revenue"": 127545.67, ""growth_percentage"": 649979.87}"
3,"Revenue Trend Summary",2,"{""month"": ""2016-12-01T00:00:00"", ""metric"": ""Weakest Growth Month"", ""revenue"": 19.62, ""growth_percentage"": -99.96}"
3,"Revenue Trend Summary",3,"{""month"": ""2017-11-01T00:00:00"", ""metric"": ""Highest Revenue Month"", ""revenue"": 1153528.05, ""growth_percentage"": 53.57}"
3,"Revenue Trend Summary",4,"{""month"": ""2016-12-01T00:00:00"", ""metric"": ""Lowest Revenue Month"", ""revenue"": 19.62, ""growth_percentage"": -99.96}"
4,"Revenue Growth Consistency",1,"{""months"": 13, ""growth_status"": ""Positive Growth"", ""percentage_of_months"": 61.90}"
4,"Revenue Growth Consistency",2,"{""months"": 8, ""growth_status"": ""Negative Growth"", ""percentage_of_months"": 38.10}"
5,"Seller Revenue Concentration",1,"{""top_10_sales"": 1993154.99, ""top_20_sales"": 3243893.84, ""top_10_percentage"": 14.19, ""top_20_percentage"": 23.10, ""total_seller_sales"": 14043670.75}"
6,"Customer Retention Health",1,"{""customers"": 90557, ""customer_type"": ""One-Time Customer"", ""percentage_of_customers"": 97.00}"
6,"Customer Retention Health",2,"{""customers"": 2801, ""customer_type"": ""Repeat Customer"", ""percentage_of_customers"": 3.00}"
7,"Customer Value Concentration",1,"{""median_clv"": 107.78, ""average_clv"": 165.20, ""third_quartile_clv"": 182.56, ""top_10_customer_revenue"": 5899278.13, ""top_10_revenue_percentage"": 38.25}"
8,"Revenue Growth vs Customer Activity",1,"{""month"": ""2016-12-01T00:00:00"", ""revenue"": 19.62, ""active_customers"": 1, ""business_pattern"": ""Revenue Down / Customers Down""}"
8,"Revenue Growth vs Customer Activity",2,"{""month"": ""2017-01-01T00:00:00"", ""revenue"": 127545.67, ""active_customers"": 718, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",3,"{""month"": ""2017-02-01T00:00:00"", ""revenue"": 271298.65, ""active_customers"": 1630, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",4,"{""month"": ""2017-03-01T00:00:00"", ""revenue"": 414369.39, ""active_customers"": 2508, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",5,"{""month"": ""2017-04-01T00:00:00"", ""revenue"": 390952.18, ""active_customers"": 2274, ""business_pattern"": ""Revenue Down / Customers Down""}"
8,"Revenue Growth vs Customer Activity",6,"{""month"": ""2017-05-01T00:00:00"", ""revenue"": 567066.73, ""active_customers"": 3479, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",7,"{""month"": ""2017-06-01T00:00:00"", ""revenue"": 490225.60, ""active_customers"": 3076, ""business_pattern"": ""Revenue Down / Customers Down""}"
